model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,accuracy,max_judge_retries,baseline_full_doc
qwen3-next:80b-cloud,34b3c98bc5a4_20260131065629,6,42.941447257995605,1293,1194,0,5.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,6ab06c15c139_20260131072444,1,319.4242203235626,8520,3388,1,4.571428571428571,0.9047619047619048,2,True
qwen3-next:80b-cloud,2bf3a0cd8524_20260131072611,1,710.7789225578308,8222,4532,2,4.857142857142857,0.8095238095238095,2,True
qwen3-next:80b-cloud,4adaaab69756_20260131070057,1,337.5681483745575,1413,2968,2,3.6666666666666665,0.8571428571428571,2,False
qwen3-next:80b-cloud,4adaaab69756_20260131070057,2,499.1931822299957,1703,1453,2,4.75,0.8571428571428571,2,False
qwen3-next:80b-cloud,4adaaab69756_20260131070057,3,602.1815495491028,1786,2987,2,5.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,4adaaab69756_20260131070057,4,399.1909725666046,1650,4055,1,4.25,0.8571428571428571,2,False
qwen3-next:80b-cloud,4adaaab69756_20260131070057,5,414.61003732681274,1843,2869,1,4.75,0.8571428571428571,2,False
qwen3-next:80b-cloud,4adaaab69756_20260131070057,6,173.34619736671448,1293,937,0,5.0,0.8571428571428571,2,False
qwen3-next:80b-cloud,a9058c0abb83_20260131073202,1,703.4842076301575,8404,4982,2,4.571428571428571,0.9523809523809523,2,True
qwen3-next:80b-cloud,22328a190628_20260131074053,1,372.5627658367157,8294,2967,1,4.714285714285714,0.9047619047619048,2,True
qwen3-next:80b-cloud,94dba510c21b_20260131072021,1,430.91993713378906,1397,3782,2,3.6666666666666665,0.7619047619047619,2,False
qwen3-next:80b-cloud,94dba510c21b_20260131072021,2,147.35073518753052,1242,4408,0,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,94dba510c21b_20260131072021,3,142.19761991500854,1315,4549,0,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,94dba510c21b_20260131072021,4,523.8604199886322,1619,6104,2,3.75,0.7619047619047619,2,False
qwen3-next:80b-cloud,94dba510c21b_20260131072021,5,312.2920742034912,1576,3203,1,4.75,0.7619047619047619,2,False
qwen3-next:80b-cloud,94dba510c21b_20260131072021,6,120.53604316711426,1293,1405,0,5.0,0.7619047619047619,2,False
qwen3-next:80b-cloud,82f7b37744fb_20260131074333,1,401.17711210250854,8138,5229,1,4.904761904761905,0.9047619047619048,2,True
qwen3-next:80b-cloud,fe645188f75e_20260131074538,1,413.3849527835846,8453,2487,1,4.857142857142857,0.8571428571428571,2,True
qwen3-next:80b-cloud,f526d9d7c997_20260131075044,1,198.5994062423706,6912,4908,0,4.809523809523809,0.9047619047619048,2,True
qwen3-next:80b-cloud,fb1ea09fc52c_20260131074832,1,675.2099387645721,8158,6297,1,4.761904761904762,0.8571428571428571,2,True
qwen3-next:80b-cloud,60d136f5009b_20260131075706,1,465.8343324661255,8498,5712,1,4.904761904761905,0.9047619047619048,2,True
qwen3-next:80b-cloud,157d67ab80a9_20260131075835,1,399.36500668525696,8330,2629,1,4.857142857142857,0.8571428571428571,2,True
qwen3-next:80b-cloud,b1ba6c45e981_20260131080118,1,536.4004607200623,6912,4392,2,4.809523809523809,0.9523809523809523,2,True
qwen3-next:80b-cloud,6cf9bfd8166b_20260131080139,1,520.4767045974731,6912,4503,2,4.809523809523809,0.9047619047619048,2,True
qwen3-next:80b-cloud,e6abd56eb1ab_20260131080813,1,310.6120526790619,8360,4035,1,4.666666666666667,0.9047619047619048,2,True
qwen3-next:80b-cloud,893be258625b_20260131080800,1,338.7367799282074,8392,4220,1,4.714285714285714,0.9523809523809523,2,True
qwen3-next:80b-cloud,20c43429e6fa_20260131081214,1,273.6038887500763,8377,3440,1,4.714285714285714,0.9523809523809523,2,True
qwen3-next:80b-cloud,25eb349eb750_20260131081334,1,227.35059237480164,6912,6348,0,4.761904761904762,0.9047619047619048,2,True
qwen3-next:80b-cloud,7214c4e7ebd2_20260131081541,1,415.4307849407196,8297,3660,1,4.761904761904762,0.8571428571428571,2,True
qwen3-next:80b-cloud,89a9582846e5_20260131081921,1,323.11868238449097,8261,3638,1,4.809523809523809,0.8571428571428571,2,True
qwen3-next:80b-cloud,01028590edbf_20260131081950,1,315.14253544807434,8101,4485,1,4.857142857142857,0.8571428571428571,2,True
qwen3-next:80b-cloud,a51fbc81f4bf_20260131082531,1,146.398761510849,6912,7669,0,5.0,0.8571428571428571,2,True
qwen3-next:80b-cloud,4f22e9e79fc8_20260131082610,1,221.26693081855774,6912,5067,0,5.0,0.9523809523809523,2,True
